asn=595  	id=1   	App	rx app packet seqnum=1 from=8 at cell [ts: 3, co: 2][NODE]
asn=595  	id=4   	Node	tx done from=4 source=8 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 3 channel offset: 2 acked=true, remove packet[NODE]
asn=595  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=595  	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=604  	id=2   	Node	scanning on channel=26...[NODE]
asn=604  	id=3   	Node	scanning on channel=20...[NODE]
asn=604  	id=9   	Node	scanning on channel=26...[NODE]
asn=604  	id=14  	Node	scanning on channel=25...[NODE]
asn=604  	id=13  	Node	scanning on channel=20...[NODE]
asn=604  	id=6   	Node	scanning on channel=25...[NODE]
asn=604  	id=11  	Node	scanning on channel=15...[NODE]
asn=604  	id=12  	Node	scanning on channel=25...[NODE]
asn=604  	id=5   	Node	scanning on channel=20...[NODE]
asn=622  	id=9   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=682  	id=5   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=705  	id=5   	Node	scanning on channel=25...[NODE]
asn=705  	id=2   	Node	scanning on channel=20...[NODE]
asn=705  	id=3   	Node	scanning on channel=25...[NODE]
asn=705  	id=10  	Node	scanning on channel=25...[NODE]
asn=705  	id=12  	Node	scanning on channel=26...[NODE]
asn=705  	id=11  	Node	scanning on channel=25...[NODE]
asn=705  	id=9   	Node	scanning on channel=15...[NODE]
asn=705  	id=6   	Node	scanning on channel=15...[NODE]
asn=705  	id=13  	Node	scanning on channel=15...[NODE]
asn=705  	id=7   	Node	scanning on channel=25...[NODE]
asn=748  	id=10  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=780  	id=6   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=806  	id=13  	Node	scanning on channel=20...[NODE]
asn=806  	id=5   	Node	scanning on channel=20...[NODE]
asn=806  	id=6   	Node	scanning on channel=25...[NODE]
asn=806  	id=10  	Node	scanning on channel=20...[NODE]
asn=806  	id=9   	Node	scanning on channel=25...[NODE]
asn=806  	id=11  	Node	scanning on channel=15...[NODE]
asn=806  	id=14  	Node	scanning on channel=26...[NODE]
asn=865  	id=13  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=907  	id=14  	Node	scanning on channel=20...[NODE]
asn=907  	id=7   	Node	scanning on channel=15...[NODE]
asn=907  	id=13  	Node	scanning on channel=15...[NODE]
asn=907  	id=5   	Node	scanning on channel=26...[NODE]
asn=907  	id=2   	Node	scanning on channel=26...[NODE]
asn=907  	id=11  	Node	scanning on channel=25...[NODE]
asn=907  	id=9   	Node	scanning on channel=15...[NODE]
asn=907  	id=3   	Node	scanning on channel=20...[NODE]
asn=907  	id=12  	Node	scanning on channel=20...[NODE]
asn=907  	id=10  	Node	scanning on channel=25...[NODE]
